company,ticker,cik,filing_date,period,revenue_reported,eps_diluted,net_income
Apple Inc.,AAPL,0000320193,2026-07-30,fiscal 2026 third quarter,109.4 billion,2.02,NOT_FOUND
Apple Inc.,AAPL,0000320193,2026-04-30,fiscal 2026 second quarter,111.2 billion,2.01,NOT_FOUND
Apple Inc.,AAPL,0000320193,2026-01-29,fiscal 2026 first quarter,143.8 billion,2.84,NOT_FOUND
Apple Inc.,AAPL,0000320193,2025-10-30,fiscal 2025 fourth quarter,102.5 billion,1.85,NOT_FOUND
Microsoft Corporation,MSFT,0000789019,2026-07-29,"quarter ended June 30, 2026",90.0 billion,4.81,35.8 billion
Microsoft Corporation,MSFT,0000789019,2026-04-29,"quarter ended March 31, 2026",82.9 billion,4.27,31.8 billion
Microsoft Corporation,MSFT,0000789019,2026-01-28,"quarter ended December 31, 2025",81.3 billion,5.16,38.5 billion
Microsoft Corporation,MSFT,0000789019,2025-10-29,"quarter ended September 30, 2025",77.7 billion,3.72,27.7 billion
NVIDIA Corporation,NVDA,0001045810,2026-08-26,Second Quarter Fiscal 2027,96.2 billion,2.46,NOT_FOUND
NVIDIA Corporation,NVDA,0001045810,2026-05-20,First Quarter Fiscal 2027,81.6 billion,0.01,NOT_FOUND
NVIDIA Corporation,NVDA,0001045810,2026-02-25,"fourth quarter ended January 25, 2026",68.1 billion,1.76,NOT_FOUND
NVIDIA Corporation,NVDA,0001045810,2025-11-19,Third Quarter Fiscal 2026,57.0 billion,1.30,NOT_FOUND
JPMorgan Chase & Co.,JPM,0000019617,2026-07-14,SECOND QUARTER 2026,57.3 billion,7.70,21.2 billion
JPMorgan Chase & Co.,JPM,0000019617,2026-04-14,FIRST QUARTER 2026,49.8 billion,5.94,16.5 billion
JPMorgan Chase & Co.,JPM,0000019617,2026-01-13,FOURTH QUARTER 2025,45.8 billion,4.63,13.0 billion
JPMorgan Chase & Co.,JPM,0000019617,2025-10-14,THIRD QUARTER 2025,46.4 billion,5.07,14.4 billion
Walmart Inc.,WMT,0000104169,2026-08-20,Q2 FY27,187.9 billion,0.80,NOT_FOUND
Walmart Inc.,WMT,0000104169,2026-05-21,Q1 FY27,177.8 billion,0.67,NOT_FOUND
Walmart Inc.,WMT,0000104169,2026-02-19,Q4 FY26,190.7 billion,0.53,NOT_FOUND
Walmart Inc.,WMT,0000104169,2025-11-20,Q3 FY26,179.5 billion,0.77,NOT_FOUND
